"Area","personal income"
"Abilene, TX",53457
"Akron, OH",60170
"Albany, GA",45893
"Albany-Lebanon, OR",52469
"Albany-Schenectady-Troy, NY",66984
"Albuquerque, NM",53954
"Alexandria, LA",51451
"Allentown-Bethlehem-Easton, PA-NJ",62912
"Altoona, PA",55101
"Amarillo, TX",57124
"Ames, IA",50657
"Anchorage, AK",70566
"Ann Arbor, MI",71368
"Anniston-Oxford, AL",42533
"Appleton, WI",60060
"Asheville, NC",57810
"Athens-Clarke County, GA",49884
"Atlanta-Sandy Springs-Alpharetta, GA",64107
"Atlantic City-Hammonton, NJ",55918
"Auburn-Opelika, AL",46691
"Augusta-Richmond County, GA-SC",49496
"Austin-Round Rock-Georgetown, TX",75119
"Bakersfield, CA",44862
"Baltimore-Columbia-Towson, MD",71420
"Bangor, ME",51998
"Barnstable Town, MA",85317
"Baton Rouge, LA",56897
"Battle Creek, MI",44904
"Bay City, MI",49667
"Beaumont-Port Arthur, TX",49526
"Beckley, WV",47065
"Bellingham, WA",58993
"Bend, OR",71627
"Billings, MT",64017
"Binghamton, NY",49216
"Birmingham-Hoover, AL",62262
"Bismarck, ND",68698
"Blacksburg-Christiansburg, VA",46345
"Bloomington, IL",58178
"Bloomington, IN",53735
"Bloomsburg-Berwick, PA",53399
"Boise City, ID",59739
"Boston-Cambridge-Newton, MA-NH",94082
"Boulder, CO",98553
"Bowling Green, KY",44902
"Bremerton-Silverdale-Port Orchard, WA",68198
"Bridgeport-Stamford-Norwalk, CT",125185
"Brownsville-Harlingen, TX",37325
"Brunswick, GA",54827
"Buffalo-Cheektowaga, NY",56414
"Burlington, NC",48980
"Burlington-South Burlington, VT",67342
"California-Lexington Park, MD",66146
"Canton-Massillon, OH",53175
"Cape Coral-Fort Myers, FL",63568
"Cape Girardeau, MO-IL",49170
"Carbondale-Marion, IL",48363
"Carson City, NV",61026
"Casper, WY",68472
"Cedar Rapids, IA",61165
"Chambersburg-Waynesboro, PA",55212
"Champaign-Urbana, IL",55562
"Charleston, WV",52369
"Charleston-North Charleston, SC",63159
"Charlotte-Concord-Gastonia, NC-SC",65156
"Charlottesville, VA",80969
"Chattanooga, TN-GA",54665
"Cheyenne, WY",59148
"Chicago-Naperville-Elgin, IL-IN-WI",72512
"Chico, CA",54974
"Cincinnati, OH-KY-IN",65253
"Clarksville, TN-KY",47421
"Cleveland, TN",46240
"Cleveland-Elyria, OH",62921
"Coeur d'Alene, ID",60474
"College Station-Bryan, TX",48514
"Colorado Springs, CO",61217
"Columbia, MO",54618
"Columbia, SC",54597
"Columbus, GA-AL",46748
"Columbus, IN",61920
"Columbus, OH",61228
"Corpus Christi, TX",54916
"Corvallis, OR",55325
"Crestview-Fort Walton Beach-Destin, FL",67820
"Cumberland, MD-WV",47013
"Dallas-Fort Worth-Arlington, TX",70493
"Dalton, GA",43089
"Danville, IL",49105
"Daphne-Fairhope-Foley, AL",56747
"Davenport-Moline-Rock Island, IA-IL",56690
"Dayton-Kettering, OH",56468
"Decatur, AL",45215
"Decatur, IL",56774
"Deltona-Daytona Beach-Ormond Beach, FL",54768
"Denver-Aurora-Lakewood, CO",84788
"Des Moines-West Des Moines, IA",64401
"Detroit-Warren-Dearborn, MI",61322
"Dothan, AL",49482
"Dover, DE",51188
"Dubuque, IA",60090
"Duluth, MN-WI",54565
"Durham-Chapel Hill, NC",63799
"East Stroudsburg, PA",52643
"Eau Claire, WI",56225
"El Centro, CA",45188
"Elizabethtown-Fort Knox, KY",50602
"Elkhart-Goshen, IN",58570
"Elmira, NY",51630
"El Paso, TX",44163
"Enid, OK",48872
"Erie, PA",51396
"Eugene-Springfield, OR",56188
"Evansville, IN-KY",58138
"Fairbanks, AK",67790
"Fargo, ND-MN",64468
"Farmington, NM",43489
"Fayetteville, NC",45051
"Fayetteville-Springdale-Rogers, AR",74943
"Flagstaff, AZ",58933
"Flint, MI",47564
"Florence, SC",50679
"Florence-Muscle Shoals, AL",44713
"Fond du Lac, WI",58204
"Fort Collins, CO",67849
"Fort Smith, AR-OK",45543
"Fort Wayne, IN",57079
"Fresno, CA",50549
"Gadsden, AL",42951
"Gainesville, FL",50892
"Gainesville, GA",57416
"Gettysburg, PA",55597
"Glens Falls, NY",54454
"Goldsboro, NC",49370
"Grand Forks, ND-MN",60462
"Grand Island, NE",54336
"Grand Junction, CO",54654
"Grand Rapids-Kentwood, MI",62131
"Grants Pass, OR",52166
"Great Falls, MT",57020
"Greeley, CO",58860
"Green Bay, WI",61179
"Greensboro-High Point, NC",52335
"Greenville, NC",53495
"Greenville-Anderson, SC",52202
"Gulfport-Biloxi, MS",45604
"Hagerstown-Martinsburg, MD-WV",52426
"Hammond, LA",47512
"Hanford-Corcoran, CA",42525
"Harrisburg-Carlisle, PA",60723
"Harrisonburg, VA",51466
"Hartford-East Hartford-Middletown, CT",69787
"Hattiesburg, MS",44507
"Hickory-Lenoir-Morganton, NC",49697
"Hilton Head Island-Bluffton, SC",67794
"Hinesville, GA",39616
"Homosassa Springs, FL",45330
"Hot Springs, AR",48507
"Houma-Thibodaux, LA",50394
"Houston-The Woodlands-Sugar Land, TX",68344
"Huntington-Ashland, WV-KY-OH",48311
"Huntsville, AL",59677
"Idaho Falls, ID",59280
"Indianapolis-Carmel-Anderson, IN",68719
"Iowa City, IA",64399
"Ithaca, NY",51169
"Jackson, MI",46409
"Jackson, MS",53606
"Jackson, TN",49028
"Jacksonville, FL",62729
"Jacksonville, NC",51585
"Janesville-Beloit, WI",52517
"Jefferson City, MO",51936
"Johnson City, TN",48978
"Johnstown, PA",47971
"Jonesboro, AR",45736
"Joplin, MO",44900
"Kahului-Wailuku-Lahaina, HI",60376
"Kalamazoo-Portage, MI",59619
"Kankakee, IL",51048
"Kansas City, MO-KS",63417
"Kennewick-Richland, WA",51799
"Killeen-Temple, TX",47680
"Kingsport-Bristol, TN-VA",47442
"Kingston, NY",62270
"Knoxville, TN",58239
"Kokomo, IN",47388
"La Crosse-Onalaska, WI-MN",60402
"Lafayette, LA",52503
"Lafayette-West Lafayette, IN",48158
"Lake Charles, LA",51799
"Lake Havasu City-Kingman, AZ",44645
"Lakeland-Winter Haven, FL",43223
"Lancaster, PA",63044
"Lansing-East Lansing, MI",50647
"Laredo, TX",40873
"Las Cruces, NM",45361
"Las Vegas-Henderson-Paradise, NV",59150
"Lawrence, KS",52799
"Lawton, OK",47719
"Lebanon, PA",56207
"Lewiston, ID-WA",54393
"Lewiston-Auburn, ME",49055
"Lexington-Fayette, KY",57875
"Lima, OH",50195
"Lincoln, NE",60299
"Little Rock-North Little Rock-Conway, AR",55848
"Logan, UT-ID",48059
"Longview, TX",50727
"Longview, WA",54630
"Los Angeles-Long Beach-Anaheim, CA",76445
"Louisville/Jefferson County, KY-IN",61490
"Lubbock, TX",52295
"Lynchburg, VA",48255
"Macon-Bibb County, GA",46470
"Madera, CA",46406
"Madison, WI",71516
"Manchester-Nashua, NH",71761
"Manhattan, KS",52544
"Mankato, MN",54537
"Mansfield, OH",44998
"McAllen-Edinburg-Mission, TX",33525
"Medford, OR",57552
"Memphis, TN-MS-AR",56440
"Merced, CA",46188
"Miami-Fort Lauderdale-Pompano Beach, FL",77732
"Michigan City-La Porte, IN",49992
"Midland, MI",60842
"Midland, TX",143728
"Milwaukee-Waukesha, WI",68155
"Minneapolis-St. Paul-Bloomington, MN-WI",75164
"Missoula, MT",63790
"Mobile, AL",47447
"Modesto, CA",51015
"Monroe, LA",46638
"Monroe, MI",52998
"Montgomery, AL",49134
"Morgantown, WV",52114
"Morristown, TN",45286
"Mount Vernon-Anacortes, WA",62915
"Muncie, IN",45465
"Muskegon, MI",45571
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",50217
"Napa, CA",86863
"Naples-Marco Island, FL",131160
"Nashville-Davidson--Murfreesboro--Franklin, TN",74035
"New Bern, NC",53690
"New Haven-Milford, CT",64829
"New Orleans-Metairie, LA",61801
"New York-Newark-Jersey City, NY-NJ-PA",84084
"Niles, MI",60311
"North Port-Sarasota-Bradenton, FL",72316
"Norwich-New London, CT",64847
"Ocala, FL",44521
"Ocean City, NJ",71590
"Odessa, TX",55448
"Ogden-Clearfield, UT",54671
"Oklahoma City, OK",60687
"Olympia-Lacey-Tumwater, WA",59697
"Omaha-Council Bluffs, NE-IA",68586
"Orlando-Kissimmee-Sanford, FL",53959
"Oshkosh-Neenah, WI",56878
"Owensboro, KY",49701
"Oxnard-Thousand Oaks-Ventura, CA",76375
"Palm Bay-Melbourne-Titusville, FL",56817
"Panama City, FL",54268
"Parkersburg-Vienna, WV",57251
"Pensacola-Ferry Pass-Brent, FL",54221
"Peoria, IL",56918
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",73291
"Phoenix-Mesa-Chandler, AZ",61840
"Pine Bluff, AR",40525
"Pittsburgh, PA",65792
"Pittsfield, MA",64758
"Pocatello, ID",47470
"Portland-South Portland, ME",71990
"Portland-Vancouver-Hillsboro, OR-WA",69435
"Port St. Lucie, FL",70400
"Poughkeepsie-Newburgh-Middletown, NY",62509
"Prescott Valley-Prescott, AZ",51747
"Providence-Warwick, RI-MA",63746
"Provo-Orem, UT",53731
"Pueblo, CO",47208
"Punta Gorda, FL",53227
"Racine, WI",57574
"Raleigh-Cary, NC",70628
"Rapid City, SD",65807
"Reading, PA",58199
"Redding, CA",54120
"Reno, NV",78077
"Richmond, VA",68205
"Riverside-San Bernardino-Ontario, CA",50407
"Roanoke, VA",55243
"Rochester, MN",65003
"Rochester, NY",57902
"Rockford, IL",50806
"Rocky Mount, NC",48298
"Rome, GA",44126
"Sacramento-Roseville-Folsom, CA",66940
"Saginaw, MI",47700
"St. Cloud, MN",58261
"St. George, UT",50746
"St. Joseph, MO-KS",46980
"St. Louis, MO-IL",69698
"Salem, OR",53589
"Salinas, CA",65123
"Salisbury, MD-DE",58936
"Salt Lake City, UT",65085
"San Angelo, TX",63284
"San Antonio-New Braunfels, TX",55180
"San Diego-Chula Vista-Carlsbad, CA",74326
"San Francisco-Oakland-Berkeley, CA",123736
"San Jose-Sunnyvale-Santa Clara, CA",141516
"San Luis Obispo-Paso Robles, CA",67951
"Santa Cruz-Watsonville, CA",86365
"Santa Fe, NM",74751
"Santa Maria-Santa Barbara, CA",75720
"Santa Rosa-Petaluma, CA",77900
"Savannah, GA",55383
"Scranton--Wilkes-Barre, PA",52304
"Seattle-Tacoma-Bellevue, WA",92113
"Sebastian-Vero Beach, FL",105250
"Sebring-Avon Park, FL",41845
"Sheboygan, WI",60359
"Sherman-Denison, TX",53393
"Shreveport-Bossier City, LA",55858
"Sierra Vista-Douglas, AZ",50195
"Sioux City, IA-NE-SD",59427
"Sioux Falls, SD",74725
"South Bend-Mishawaka, IN-MI",56410
"Spartanburg, SC",52621
"Spokane-Spokane Valley, WA",53620
"Springfield, IL",57178
"Springfield, MA",60461
"Springfield, MO",49533
"Springfield, OH",47151
"State College, PA",54686
"Staunton, VA",52910
"Stockton, CA",54183
"Sumter, SC",46288
"Syracuse, NY",57576
"Tallahassee, FL",52359
"Tampa-St. Petersburg-Clearwater, FL",60091
"Terre Haute, IN",45783
"Texarkana, TX-AR",46472
"The Villages, FL",69224
"Toledo, OH",54483
"Topeka, KS",54500
"Trenton-Princeton, NJ",79354
"Tucson, AZ",54464
"Tulsa, OK",62618
"Tuscaloosa, AL",41350
"Twin Falls, ID",48305
"Tyler, TX",66784
"Urban Honolulu, HI",64936
"Utica-Rome, NY",51162
"Valdosta, GA",42469
"Vallejo, CA",58273
"Victoria, TX",58905
"Vineland-Bridgeton, NJ",46791
"Virginia Beach-Norfolk-Newport News, VA-NC",57873
"Visalia, CA",47295
"Waco, TX",49798
"Walla Walla, WA",55436
"Warner Robins, GA",47478
"Washington-Arlington-Alexandria, DC-VA-MD-WV",83010
"Waterloo-Cedar Falls, IA",55247
"Watertown-Fort Drum, NY",51749
"Wausau-Weston, WI",58770
"Weirton-Steubenville, WV-OH",47725
"Wenatchee, WA",57853
"Wheeling, WV-OH",53193
"Wichita, KS",58165
"Wichita Falls, TX",51731
"Williamsport, PA",49869
"Wilmington, NC",58526
"Winchester, VA-WV",59702
"Winston-Salem, NC",54330
"Worcester, MA-CT",63475
"Yakima, WA",49266
"York-Hanover, PA",57321
"Youngstown-Warren-Boardman, OH-PA",48645
"Yuba City, CA",50252
"Yuma, AZ",44811
