,,
,,
,U.S. Consumer Price Index for selected U.S. cities 2022,
,Consumer Price Index (CPI) of all urban consumers for selected cities and metro areas in the United States in 2022,
,,
,"San Diego-Carlsbad, CA",344.42
,"San Francisco-Oakland-Hayward, CA",327.06
,"Seattle-Tacoma-Bellevue, WA",322.17
,Urban Hawaii,316.08
,"Boston-Cambridge-Newton, MA-NH",314.36
,"Miami-Fort Lauderdale-West Palm Beach, FL",311.45
,"Los Angeles-Long Beach-Anaheim, CA",310.78
,"New York-Newark-Jersey City, NY-NJ-PA",310.14
,"Denver-Aurora-Lakewood, CO",304.42
,"Washington-Arlington-Alexandria, DC-VA-MD-WV",296.12
,"Baltimore-Columbia-Towson, MD",294.85
,U.S. City Average,292.66
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",290.53
,"Atlanta-Sandy Springs-Roswell, GA",289.67
,"Minneapolis-St.Paul-Bloomington, MN-WI",285.01
,"Dallas-Fort Worth-Arlington, TX",273.86
,"Tampa-St. Petersburg-Clearwater, FL",273.60
,"Chicago-Naperville-Elgin, IL-IN-WI",273.36
,"Detroit-Warren-Dearborn, MI",268.12
,"St. Louis, MO-IL",264.89
,"Houston-The Woodlands-Sugar Land, TX",258.66
,Urban Alaska,256.42
,"Phoenix-Mesa-Scottsdale, AZ*",170.65
,"Riverside-San Bernardino-Ontario, CA",123.78